rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,1,3,50080850,11,2022
2,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Drake /  21 Savage,Rich Flex,OVO / Republic Records,2,-1,1,48031503,11,2022
3,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,2,7,45956224,11,2022
4,spotify:track:46s57QULU02Voy0Kup6UEb,Drake /  21 Savage,Major Distribution,OVO / Republic Records,4,-1,1,35793667,11,2022
5,spotify:track:2KLwPaRDOB87XOYAT2fgxh,Drake /  21 Savage /  Travis Scott,Pussy & Millions (feat. Travis Scott),OVO / Republic Records,5,-1,1,33728392,11,2022
1,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,5,46,37016166,12,2022
2,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,1,11,35213129,12,2022
3,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin /  The Weeknd /  21 Savage,Creepin' (with The Weeknd & 21 Savage),Republic Records,3,-1,1,35126419,12,2022
4,spotify:track:2FRnf9qhLbvw8fu4IBXx78,Wham!,Last Christmas,Epic,2,9,39,31520346,12,2022
5,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,3,36,31136391,12,2022
1,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,1,5,47288509,1,2023
2,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin /  The Weeknd /  21 Savage,Creepin' (with The Weeknd & 21 Savage),Republic Records,2,5,6,30753658,1,2023
3,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,2,16,30733283,1,2023
4,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,3,41,28522200,1,2023
5,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta /  Bebe Rexha,I'm Good (Blue),Parlophone UK,2,4,20,27260313,1,2023
1,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,1,1,4,80533496,2,2023
2,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,3,9,48524173,2,2023
3,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,Bizarrap /  Shakira,Shakira: Bzrp Music Sessions /  Vol. 53,DALE PLAY Records,2,2,5,46619699,2,2023
4,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,5,20,39324290,2,2023
5,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin /  The Weeknd /  21 Savage,Creepin' (with The Weeknd & 21 Savage),Republic Records,2,4,10,31906846,2,2023
1,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,KAROL G /  Shakira,TQG,BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,1,2,2,57131424,3,2023
2,spotify:track:7oDd86yk8itslrA9HRP2ki,The Weeknd /  Ariana Grande,Die For You - Remix,XO / Republic Records,2,3,2,54891152,3,2023
3,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,1,1,8,53723448,3,2023
4,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,4,13,42801686,3,2023
5,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,PinkPantheress /  Ice Spice,Boy's a liar Pt. 2,Warner Records,3,5,5,38239133,3,2023
1,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,1,1,12,43729841,4,2023
2,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,KAROL G /  Shakira,TQG,BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,1,2,6,36209881,4,2023
3,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,3,17,35856196,4,2023
4,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,Eslabon Armado /  Peso Pluma,Ella Baila Sola,DEL Records,4,9,3,35393246,4,2023
5,spotify:track:609E1JCInJncactoMmkDon,ROSALÍA /  Rauw Alejandro,BESO,Columbia Records/Duars Entertainment/Sony Music Latin,5,5,2,33370230,4,2023
1,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,Grupo Frontera /  Bad Bunny,un x100to,Rimas Entertainment LLC.,1,1,4,49594770,5,2023
2,spotify:track:3qQbCzHBycnDpGskqOWY0E,Eslabon Armado /  Peso Pluma,Ella Baila Sola,DEL Records,1,2,8,48014265,5,2023
3,spotify:track:2UW7JaomAMuX9pZrjVpHAU,Yng Lvcas /  Peso Pluma,La Bebe - Remix,WM Mexico,3,3,8,39586315,5,2023
4,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,FIFTY FIFTY,Cupid (Twin Ver.) - Live Studio Version OT4,ATTRAKT,4,5,8,36319569,5,2023
5,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,1,4,17,33810864,5,2023
1,spotify:track:3qQbCzHBycnDpGskqOWY0E,Eslabon Armado /  Peso Pluma,Ella Baila Sola,DEL Records,1,1,12,46047565,6,2023
2,spotify:track:5AqiaZwhmC6dIbgWrD5SzV,Bizarrap /  Peso Pluma,Peso Pluma: Bzrp Music Sessions /  Vol. 55,DALE PLAY Records,2,182,2,42983774,6,2023
3,spotify:track:7ro0hRteUMfnOioTFI5TG1,Bad Bunny,WHERE SHE GOES,Rimas Entertainment LLC,2,2,3,39336022,6,2023
4,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,Grupo Frontera /  Bad Bunny,un x100to,Rimas Entertainment LLC.,1,4,8,32881668,6,2023
5,spotify:track:2UW7JaomAMuX9pZrjVpHAU,Yng Lvcas /  Peso Pluma,La Bebe - Remix,WM Mexico,3,3,12,32656447,6,2023
1,spotify:track:3k79jB4aGmMDUQzEwa46Rz,Olivia Rodrigo,vampire,Olivia Rodrigo PS,1,-1,1,52036833,7,2023
2,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,5,22,30981243,7,2023
3,spotify:track:3qQbCzHBycnDpGskqOWY0E,Eslabon Armado /  Peso Pluma,Ella Baila Sola,DEL Records,1,1,16,29812054,7,2023
