rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
3,spotify:track:0O6u0VJ46W86TxN9wgyqDj,Post Malone /  Doja Cat,I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,3,-1,1,10004931,6,2022
4,spotify:track:32vE1nuG8T9c8bhmZdRY6d,Post Malone /  Roddy Ricch,Cooped Up (with Roddy Ricch),Mercury Records/Republic Records,4,26,4,7982264,6,2022
5,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Columbia,2,2,3,7845733,6,2022
1,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,2,6,11613102,7,2022
2,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,88rising Music,1,1,4,9610732,7,2022
3,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,4,14,8573851,7,2022
4,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Drake /  21 Savage,Jimmy Cooks (feat. 21 Savage),OVO,2,3,3,8398808,7,2022
5,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny /  Chencho Corleone,Me Porto Bonito,Rimas Entertainment LLC,4,5,9,7517772,7,2022
1,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,1,1,6,11142113,8,2022
2,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny /  Chencho Corleone,Me Porto Bonito,Rimas Entertainment LLC,2,4,14,7436081,8,2022
3,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,2,19,7288892,8,2022
4,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,3,11,6742511,8,2022
5,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,4,6,14,6595543,8,2022
1,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,1,1,10,10642561,9,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,3,23,7746658,9,2022
3,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny /  Chencho Corleone,Me Porto Bonito,Rimas Entertainment LLC,2,2,18,7669087,9,2022
