rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
3,spotify:track:2O8jjjtyEfXliQ6vdtdPvH,Papa V /  Nerissima Serpe /  Fritu,Tip Tap,UNIKAL,3,10,2,2415241,12,2024
4,spotify:track:4X4R6qsIicxIQIFbnDcJLO,Olly /  JVLI,Scarabocchi,Epic,4,6,7,2313403,12,2024
5,spotify:track:1QcmAp6Ev2HuYxKujUwnw0,Alfa,il filo rosso,Artist First,2,7,8,2235027,12,2024
1,spotify:track:420QMNPnHsbAqkkxBt2ifJ,RRARI DAL TACCO /  Kid Yugi,BIANCA (feat. Kid Yugi),Universal Music Italia srL.,1,2,2,3326595,2,2025
2,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,1,4,2687320,2,2025
3,spotify:track:5MJc4IVIt17xEt6angtZcq,Lazza,BUIO DAVANTI,Universal Music Italia srL.,3,8,20,2050584,2,2025
4,spotify:track:6cGhVnQAJRxGVsltCU06vF,Guè,Vibe,Universal Music Italia srL.,4,5,4,2001625,2,2025
5,spotify:track:41lOxc6ARYZPXpKeMWcHsD,Pinguini Tattici Nucleari,Islanda,Epic,1,6,12,1856452,2,2025
1,spotify:track:420QMNPnHsbAqkkxBt2ifJ,RRARI DAL TACCO /  Kid Yugi,BIANCA (feat. Kid Yugi),Universal Music Italia srL.,1,2,2,3326595,2,2025
2,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,1,4,2687320,2,2025
3,spotify:track:5MJc4IVIt17xEt6angtZcq,Lazza,BUIO DAVANTI,Universal Music Italia srL.,3,8,20,2050584,2,2025
4,spotify:track:6cGhVnQAJRxGVsltCU06vF,Guè,Vibe,Universal Music Italia srL.,4,5,4,2001625,2,2025
5,spotify:track:41lOxc6ARYZPXpKeMWcHsD,Pinguini Tattici Nucleari,Islanda,Epic,1,6,12,1856452,2,2025
